Rank;Name;POS
1;Adrian Peterson;RB1
2;Le’Veon Bell;RB2
3;Eddie Lacy;RB3
4;Jamaal Charles;RB4
5;Marshawn Lynch;RB5
6;Antonio Brown;WR1
7;Dez Bryant;WR2
8;Andrew Luck;QB1
9;Matt Forte;RB6
10;C.J. Anderson;RB7
11;DeMarco Murray;RB8
12;Rob Gronkowski;TE1
13;Aaron Rodgers;QB2
14;Demaryius Thomas;WR3
15;Jeremy Hill;RB9
16;Julio Jones;WR4
17;Odell Beckham Jr.;WR5
18;Calvin Johnson;WR6
19;LeSean McCoy;RB10
20;Randall Cobb;WR7
21;A.J. Green;WR8
22;T.Y. Hilton;WR9
23;Justin Forsett;RB11
24;Alshon Jeffery;WR10
25;Jimmy Graham;TE2
26;Lamar Miller;RB12
27;Mike Evans;WR11
28;Mark Ingram;RB13
29;Peyton Manning;QB3
30;Brandin Cooks;WR12
31;Frank Gore;RB14
32;Emmanuel Sanders;WR13
33;DeAndre Hopkins;WR14
34;Russell Wilson;QB4
35;Drew Brees;QB5
36;Alfred Morris;RB15
37;Jordan Matthews;TE3
38;Melvin Gordon;RB16
39;Latavius Murray;RB17
40;Carlos Hyde;RB18
41;Andre Johnson;WR15
42;Amari Cooper;WR16
43;Greg Olsen;TE4
44;Ben Roethlisberger;QB6
45;Julian Edelman;WR17
46;Andre Ellington;RB19
47;Golden Tate;WR18
48;Jonathan Stewart;RB20
49;Travis Kelce;TE5
50;Keenan Allen;WR19
51;Jeremy Maclin;WR20
52;Joseph Randle;RB21
53;DeSean Jackson;WR21
54;Matt Ryan;QB7
55;Arian Foster;RB22
56;Tony Romo;QB8
57;Sammy Watkins;WR22
58;Tom Brady;QB9
59;Brandon Marshall;WR23
60;Jarvis Landry;WR24
61;Martellus Bennett;TE6
62;Davante Adams;WR25
63;T.J. Yeldon;RB23
65;Todd Gurley;RB24
66;Vincent Jackson;WR26
67;Chris Ivory;RB25
68;Ameer Abdullah;RB26
69;LeGarrette Blount;RB27
