Rank;Player;POS
1;Christian McCaffrey;RB1
2;Saquon Barkley;RB2
3;Ezekiel Elliott;RB3
4;Derrick Henry;RB4
5;Dalvin Cook;RB5
6;Michael Thomas;WR1
7;Alvin Kamara;RB6
8;Nick Chubb;RB7
9;Clyde Edwards-Helaire;RB8
10;Joe Mixon;RB9
11;Davante Adams;WR2
12;Josh Jacobs;RB10
13;Tyreek Hill;WR3
14;Patrick Mahomes II;QB1
15;Aaron Jones Sr.;RB11
16;Julio Jones;WR4
17;Lamar Jackson;QB2
18;Kenyan Drake;RB12
19;Miles Sanders;RB13
20;DeAndre Hopkins;WR5
21;Travis Kelce;TE1
22;Austin Ekeler;RB14
23;Chris Godwin;WR6
24;George Kittle;TE2
25;Kenny Golladay;WR7
26;Mike Evans;WR8
27;Todd Gurley;RB15
28;Chris Carson;RB16
29;Amari Cooper;WR9
30;dell Beckham Jr.;WR10
31;David Johnson;RB17
32;Jonathan Taylor;RB18
33;Adam Thielen;WR11
34;JuJu Smith-Schuster;WR12
35;James Conner;RB19
36;Cooper Kupp;WR13
37;A.J. Brown;WR14
38;Allen Robinson II;WR15
39;Mark Andrews;TE3
40;Leonard Fournette;RB20
41;Melvin Gordon;RB21
42;Calvin Ridley;WR16
43;Mark Ingram;RB22
44;Le'Veon Bell;RB23
45;DJ Moore;WR17
46;Raheem Mostert;RB24
47;Dak Prescott;QB3
48;DK Metcalf;WR18
49;Tyler Lockett;WR19
50;Deshaun Watson;QB4
51;Zach Ertz;TE4
52;Robert Woods;WR20
53;Russell Wilson;QB5
54;Devin Singletary;RB25
55;Courtland Sutton;WR21
56;Keenan Allen;WR22
57;Stefon Diggs;WR23
58;DJ Chark Jr.;WR24
59;Kyler Murray;QB6
60;Cam Akers;RB26
61;Terry McLaurin;WR25
62;DeVante Parker;WR26
63;T.Y. Hilton;WR27
64;David Montgomery;RB27
65;Darren Waller;TE5
66;Kareem Hunt;RB28
67;A.J. Green;WR28
68;D'Andre Swift;RB29
69;Marquise Brown;WR29
70;Michael Gallup;WR30
71;Drew Brees;QB7
72;Rob Gronkowski;TE6
73;Jarvis Landry;WR31
74;Evan Engram;TE7
75;Matt Ryan;QB8
76;Aaron Rodgers;QB9
77;William Fuller V ;WR32
78;Tyler Boyd;WR33
79;Ronald Jones;RB30
80;Julian Edelman;WR34
81;Tom Brady;QB10
82;Josh Allen;QB11
83;Brandin Cooks;WR35
84;J.K. Dobbins;RB31
85;Jordan Howard;RB32
86;Deebo Samuel Sr.;WR36
87;Hunter Henry;TE8
88;Marlon Mack ;RB33
89;Kerryon Johnson;RB34
90;Sony Michel;RB35
91;Jared Cook;TE9
92;Marvin Jones Jr.;WR37
93;Phillip Lindsay;RB36
94;Carson Wentz;QB12
95;James White;RB37
96;CeeDee Lamb;WR38
97;Tyler Higbee;TE10
98;Emmanuel Sanders;WR39
99;Matthew Stafford;QB13
100;Austin Hooper;TE11
101;Matt Breida;RB38
102;Darius Slayton;WR40
103;Tevin Coleman;RB39
104;Latavius Murray;RB40
105;Zack Moss;RB41
106;Christian Kirk;WR41
108;Jerry Jeudy;WR42
109;Tarik Cohen ;RB42
110;Diontae Johnson;WR43
111;Daniel Jones;QB14
112;Sterling Shepard;WR44
113;Hayden Hurst;TE12
115;Mecole Hardman Jr.;WR45
116;John Brown;WR46
117;Ben Roethlisberger;QB15
118;Alexander Mattison;RB43
119;Noah Fant;TE13
121;Henry Ruggs;WR47
122;Baker Mayfield;QB16
123;Justin Jefferson;WR48
124;Antonio Gibson;RB44
125;Jared Goff;QB17
126;Jamison Crowder;WR49
127;Adrian Peterson;RB45
131;Anthony Miller;WR50
132;Ryan Tannehill;QB18
133;Golden Tate;WR51
134;T.J. Hockenson;TE14
135;Chase Edmonds;RB46
136;Darrell Henderson Jr.;RB47
137;Mike Gesicki;TE15
138;Preston Williams;WR52
139;Ke'Shawn Vaughn;RB48
140;Duke Johnson Jr.;RB49
141;DeSean Jackson;WR53
142;Sammy Watkins;WR54
143;Joe Burrow;QB19
144;Mike Williams;WR55
147;Boston Scott;RB50
149;Cam Newton;QB20
150;Robbie Chosen;WR56
151;AJ Dillon;RB51
152;Chris Thompson;RB52
153;Justin Jackson;RB53
155;Kirk Cousins;QB21
156;Tony Pollard;RB54
157;Blake Jarwin ;TE16
158;Jonnu Smith;TE17
160;Philip Rivers;QB22
161;Breshad Perriman;WR57
163;N'Keal Harry;WR58
164;Jalen Reagor;WR59
165;Alshon Jeffery;WR60
166;Dallas Goedert;TE18
167;Jack Doyle;TE19
168;Jimmy Garoppolo;QB23
169;Allen Lazard;WR61
170;Nyheim Hines;RB55
171;Damien Harris;RB56
174;Curtis Samuel;WR62
176;Greg Olsen;TE20
177;Rashaad Penny;RB57
178;Michael Pittman Jr.;WR63
179;Darrel Williams;RB58
180;Chris Herndon;TE21
181;Gardner Minshew II;QB24
182;Drew Lock;QB25
183;Jamaal Williams;RB59
184;Ryquell Armstead ;RB60
185;Eric Ebron;TE22
186;Bryce Love;RB61
190;Bryan Edwards;WR64
192;LeSean McCoy;RB62
