Rank;Name;POS
1;Antonio Brown;WR1
2;Odell Beckham Jr.;WR2
3;Todd Gurley;RB1
4;Julio Jones;WR3
5;David Johnson;RB2
6;Adrian Peterson;RB3
7;Ezekiel Elliott;RB4
8;DeAndre Hopkins;WR4
9;Rob Gronkowski;TE1
10;A.J. Green;WR5
11;Le’Veon Bell;RB5
12;Lamar Miller;RB6
13;Devonta Freeman;RB7
14;Dez Bryant;WR6
15;Allen Robinson II;WR7
16;Jordy Nelson;WR8
17;Cam Newton;QB1
18;Brandon Marshall;WR9
19;Mike Evans;WR10
20;Eddie Lacy;RB8
21;Mark Ingram;RB9
22;Jamaal Charles;RB10
23;LeSean McCoy;RB11
24;Doug Martin;RB12
25;Aaron Rodgers;QB2
26;Keenan Allen;WR11
27;Amari Cooper;WR12
28;Alshon Jeffery;WR13
29;Brandin Cooks;WR14
30;Sammy Watkins;WR15
31;C.J. Anderson;RB13
32;Demaryius Thomas;WR16
33;T.Y. Hilton;WR17
34;Russell Wilson;QB3
35;Carlos Hyde;RB14
36;Thomas Rawls;RB15
37;Jordan Reed;TE2
38;Matt Forte;RB16
39;Latavius Murray;RB17
40;Jarvis Landry;WR18
41;Randall Cobb;WR19
42;Greg Olsen;TE3
43;Andrew Luck;QB4
44;DeMarco Murray;RB18
45;Julian Edelman;WR20
46;Doug Baldwin;WR21
47;Drew Brees;QB5
48;Jonathan Stewart;RB19
49;Eric Decker;WR22
50;Kelvin Benjamin;WR23
51;Jeremy Hill;RB20
52;Jeremy Maclin;WR24
53;Ben Roethlisberger;QB6
54;Golden Tate;WR25
55;Donte Moncrief;WR26
56;Travis Kelce;TE4
57;Ryan Mathews;RB21
58;Michael Floyd;WR27
59;Delanie Walker;TE5
60;Melvin Gordon;RB22
61;Jeremy Langford;RB23
62;Carson Palmer;QB7
63;Tom Brady;QB8
64;Larry Fitzgerald;WR28
65;Emmanuel Sanders;WR29
66;Matt Jones;RB24
67;Arian Foster;RB25
68;Frank Gore;RB26
69;Eli Manning;QB9
70;Coby Fleener;TE6
71;John Brown;WR30
72;Jordan Matthews;TE7
73;Giovani Bernard;RB27
74;Allen Hurns;WR31
75;DeSean Jackson;WR32
76;Gary Barnidge;TE8
77;Blake Bortles;QB10
78;Ameer Abdullah;RB28
79;Danny Woodhead;RB29
81;Michael Crabtree;WR33
82;Duke Johnson Jr.;RB30
83;Philip Rivers;QB11
84;Chris Ivory;RB31
85;Tyler Lockett;WR34
86;Rashad Jennings;RB32
87;DeAngelo Williams;RB33
89;Marvin Jones Jr.;WR35
90;Tyler Eifert ;TE9
91;Josh Gordon ;WR36
92;Antonio Gates;TE10
93;Zach Ertz;TE11
95;Derrick Henry;RB34
97;Derek Carr;QB12
98;Sterling Shepard;WR37
100;Julius Thomas;TE12
101;DeVante Parker;WR38
102;LeGarrette Blount;RB35
103;T.J. Yeldon;RB36
104;Jay Ajayi;RB37
105;Stefon Diggs;WR39
106;Kevin White;WR40
107;Jimmy Graham;TE13
108;Kirk Cousins;QB13
109;Willie Snead;WR41
111;Jameis Winston;QB14
112;Tavon Austin;WR42
113;Isaiah Crowell;RB38
114;Tyrod Taylor;QB15
117;Corey Coleman;WR43
118;Charles Sims;RB39
119;Torrey Smith;WR44
120;Martellus Bennett;TE14
121;Andy Dalton;QB16
122;Matthew Stafford;QB17
123;Justin Forsett;RB40
